id,y
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,1
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,1
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,1
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,1
178,1
179,0
180,1
181,1
182,0
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,1
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,1
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,0
398,1
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,0
440,0
441,0
442,1
443,1
444,0
445,1
446,1
447,0
448,1
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,1
462,0
463,1
464,1
465,1
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,0
498,1
499,1
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,1
513,1
514,0
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,1
533,0
534,0
535,0
536,1
537,1
538,0
539,0
540,1
541,1
542,1
543,1
544,0
545,1
546,1
547,1
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,1
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,1
572,0
573,1
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,1
582,0
583,1
584,1
585,0
586,0
587,1
588,1
589,1
590,0
591,0
592,0
593,1
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,1
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,1
626,0
627,0
628,1
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,1
638,0
639,0
640,0
641,0
642,1
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,1
656,0
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,0
665,1
666,0
667,0
668,1
669,0
670,0
671,1
672,1
673,0
674,0
675,0
676,0
677,0
678,1
679,0
680,1
681,0
682,0
683,0
684,0
685,0
686,1
687,1
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,1
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,1
715,0
716,0
717,1
718,0
719,0
720,0
721,1
722,1
723,0
724,0
725,1
726,1
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,0
741,1
742,1
743,0
744,1
745,0
746,0
747,1
748,0
749,1
750,0
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,0
760,0
761,0
762,1
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,0
771,0
772,1
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,0
784,1
785,0
786,1
787,0
788,0
789,1
790,1
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,1
799,0
800,0
801,0
802,0
803,0
804,0
805,1
806,0
807,1
808,1
809,1
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,1
819,0
820,0
821,1
822,0
823,0
824,1
825,0
826,0
827,1
828,0
829,0
830,1
831,1
832,1
833,1
834,1
835,0
836,0
837,0
838,1
839,1
840,1
841,1
842,1
843,1
844,0
